date,value
1979-01,18.7
1979-02,20.4
1979-03,22.5
1979-04,23.6
1979-05,23.7
1979-06,23.7
1979-07,21.8
1979-08,21.5
1979-09,20.6
1979-10,20.8
1979-11,19.3
1979-12,19.3
1980-01,18.6
1980-02,19.6
1980-03,23.2
1980-04,23.3
1980-05,25.2
1980-06,24.6
1980-07,23.4
1980-08,21.3
1980-09,21.7
1980-10,21.6
1980-11,20
1980-12,19
1981-01,17.9
1981-02,20.6
1981-03,22.5
1981-04,23.6
1981-05,24.6
1981-06,22.4
1981-07,21.3
1981-08,21.5
1981-09,21.2
1981-10,21
1981-11,19.1
1981-12,19.2
1982-01,20.1
1982-02,20.5
1982-03,22.8
1982-04,25
1982-05,23.8
1982-06,23.8
1982-07,21.8
1982-08,22.3
1982-09,21.9
1982-10,20.4
1982-11,19.3
1982-12,18.7
1983-01,18
1983-02,17.9
1983-03,20.2
1983-04,23.4
1983-05,26.2
1983-06,24
1983-07,22.1
1983-08,21.7
1983-09,21.2
1983-10,20.8
1983-11,19.8
1983-12,19.1
1984-01,18
1984-02,19.8
1984-03,22.2
1984-04,24.6
1984-05,23.3
1984-06,21.6
1984-07,20.6
1984-08,20.1
1984-09,20
1984-10,20.8
1984-11,18.9
1984-12,18.5
1985-01,18.9
1985-02,19.9
1985-03,22.3
1985-04,22.5
1985-05,23.3
1985-06,21.9
1985-07,20.8
1985-08,20.8
1985-09,20.3
1985-10,19.4
1985-11,18.6
1985-12,18.2
1986-01,17.6
1986-02,19.9
1986-03,20.3
1986-04,22.9
1986-05,23.1
1986-06,22.1
1986-07,21.6
1986-08,21.6
1986-09,21.7
1986-10,20.7
1986-11,20.8
1986-12,18.7
1987-01,18.6
1987-02,20.2
1987-03,21.6
1987-04,23
1987-05,24.1
1987-06,22.8
1987-07,21.9
1987-08,22
1987-09,22.4
1987-10,20.6
1987-11,20
1987-12,20
1988-01,18.2
1988-02,20.6
1988-03,21.9
1988-04,24.5
1988-05,25.7
1988-06,23.6
1988-07,21.8
1988-08,21.5
1988-09,21.1
1988-10,20.5
1988-11,19.8
1988-12,18.9
1989-01,19.7
1989-02,19.9
1989-03,21.1
1989-04,23.3
1989-05,24
1989-06,22.3
1989-07,21.6
1989-08,20.8
1989-09,20.8
1989-10,19.7
1989-11,20
1989-12,18.4
1990-01,19.6
1990-02,20.4
1990-03,22.1
1990-04,23.1
1990-05,23.1
1990-06,22.6
1990-07,21.6
1990-08,22.4
1990-09,21.7
1990-10,21.2
1990-11,20.1
1990-12,18.6
1991-01,19.1
1991-02,21.1
1991-03,23.4
1991-04,24.7
1991-05,23.6
1991-06,22.5
1991-07,20.9
1991-08,21.9
1991-09,20.7
1991-10,20
1991-11,18.8
1991-12,18.8
1992-01,18
1992-02,18
1992-03,22.5
1992-04,23
1992-05,22.3
1992-06,23.4
1992-07,21.7
1992-08,21.4
1992-09,21.1
1992-10,20.7
1992-11,19.4
1992-12,19.2
1993-01,19.4
1993-02,20.3
1993-03,21.5
1993-04,23.4
1993-05,24.8
1993-06,23.7
1993-07,21.9
1993-08,22.4
1993-09,20.6
1993-10,21.1
