date,value
2002-04,-3
2002-05,-53
2002-08,49
2002-09,47
2002-10,138
2002-11,148
2002-12,66
2003-01,81
2003-02,61
2003-03,-16
2003-04,-42
2003-05,-81
2003-07,48
2003-08,103
2003-09,163
2003-10,192
2003-11,179
2003-12,138
2004-01,145
2004-02,69
2004-03,39
2004-04,11
2004-05,7
2004-06,58
2004-07,94
2004-08,80
2004-09,354
2004-10,215
2004-11,141
2004-12,109
2005-01,84
2005-02,31
2005-03,-11
2005-04,-11
2005-05,-55
2005-06,-49
2005-07,66
2005-08,110
2005-09,124
2005-10,142
2005-11,118
2005-12,95
2006-01,17
2006-02,-5
2006-03,-21
2006-04,-49
2006-05,-56
2006-06,-34
2006-07,36
2006-08,92
2006-09,93
2006-10,149
2006-11,141
2006-12,125
2007-01,77
2007-02,54
2007-03,41
2007-04,-3
2007-05,-42
2007-06,-33
2007-07,17
2007-08,43
2007-09,163
2007-10,158
2007-11,135
2007-12,105
2008-01,57
2008-02,14
2008-03,-18
2008-04,-60
2008-05,-75
2008-06,-2
2008-07,85
2008-08,113
2008-09,192
2008-10,206
2008-11,131
2008-12,118
2009-01,69
2009-02,37
2009-03,-7
2009-04,-57
2009-05,-63
2009-06,-8
2009-07,10
2009-08,-12
2009-09,62
2009-10,100
2009-11,110
2009-12,102
2010-01,58
2010-02,69
2010-03,49
2010-04,-11
2010-05,-28
2010-06,-20
2010-07,74
2010-08,164
2010-09,229
2010-10,217
2010-11,100
2010-12,99
2011-02,-25
2011-03,-24
2011-04,-44
2011-05,-39
2011-07,127
2011-08,109
2011-09,111
2011-10,108
2011-12,81
2012-01,26
2012-02,52
2012-03,-55
2012-04,-24
2012-06,-30
2012-07,58
2012-08,123
2012-09,139
2012-11,62
2012-12,39
2013-01,7
2013-02,-5
2013-04,-67
2013-05,-87
2013-06,-54
2013-07,22
2013-10,165
2013-11,140
2013-12,143
2014-01,118
2014-03,-26
2014-04,-18
2014-05,-52
2014-06,36
2014-08,62
2014-09,144
2014-10,168
2014-11,125
2015-01,-17
2015-02,-40
2015-03,41
2015-04,32
2015-07,73
2015-08,38
2015-09,23
2015-12,72
2016-01,8
2016-02,-15
2016-03,-37
2016-05,-21
2016-06,-70
2016-07,23
2016-08,-22
2016-11,64
2016-12,31
2017-01,-30
2017-03,-83
2017-04,-29
2017-05,-81
2017-06,-97
2018-06,-49
2018-07,-23
2018-10,126
2018-11,61
2018-12,20
2019-01,10
2019-02,-31
2019-03,-50
2019-04,-111
2019-05,-122
2019-06,-72
2019-07,-40
2019-08,-57
2019-09,-53
2019-10,20
2019-11,87
2019-12,-22
2020-01,-73
2020-02,-80
2020-03,-131
2020-04,-134
2020-05,-102
2020-06,-133
2020-07,-105
2020-08,-87
2020-09,-58
2020-10,-48
2020-11,-75
2020-12,-140
2021-01,-163
2021-02,-197
2021-03,-196
2021-04,-187
2021-05,-227
2021-06,-199
2021-07,-144
2021-08,-114
2021-09,-47
2021-10,-22
2021-11,-72
2021-12,-124
2022-01,-138
2022-02,-148
2022-03,-131
2022-04,-177
2022-05,-287
2022-06,-237
2022-07,-154
2022-08,-174
2022-09,-74
2022-10,-119
2022-11,-157
2022-12,-166
2023-01,-249
2023-02,-260
2023-03,-309
2023-04,-287
2023-05,-308
2023-06,-367
2023-07,-321
2023-08,-237
2023-09,-226
