date,value
2002-04,-22
2002-05,-63
2002-08,54
2002-09,58
2002-10,131
2002-11,146
2002-12,64
2003-01,62
2003-02,42
2003-03,-43
2003-04,-61
2003-05,-99
2003-07,53
2003-08,111
2003-09,172
2003-10,199
2003-11,181
2003-12,133
2004-01,127
2004-02,50
2004-03,16
2004-04,-12
2004-05,-14
2004-06,50
2004-07,89
2004-08,82
2004-09,343
2004-10,216
2004-11,139
2004-12,106
2005-01,71
2005-02,14
2005-03,-35
2005-04,-29
2005-05,-74
2005-06,-65
2005-07,62
2005-08,118
2005-09,137
2005-10,158
2005-11,124
2005-12,98
2006-01,12
2006-02,-12
2006-03,-37
2006-04,-63
2006-05,-77
2006-06,-39
2006-07,48
2006-08,104
2006-09,108
2006-10,164
2006-11,148
2006-12,130
2007-01,73
2007-02,41
2007-03,23
2007-04,-22
2007-05,-57
2007-06,-39
2007-07,13
2007-08,47
2007-09,158
2007-10,155
2007-11,125
2007-12,95
2008-01,41
2008-02,-4
2008-03,-33
2008-04,-82
2008-05,-88
2008-06,-11
2008-07,75
2008-08,109
2008-09,192
2008-10,206
2008-11,130
2008-12,109
2009-01,49
2009-02,22
2009-03,-29
2009-04,-81
2009-05,-82
2009-06,-26
2009-07,12
2009-08,0
2009-09,68
2009-10,97
2009-11,111
2009-12,93
2010-01,42
2010-02,46
2010-03,26
2010-04,-37
2010-05,-51
2010-06,-34
2010-07,71
2010-08,175
2010-09,244
2010-10,233
2010-11,112
2010-12,102
2011-02,-34
2011-03,-35
2011-04,-55
2011-05,-51
2011-07,121
2011-08,127
2011-09,137
2011-10,135
2011-12,85
2012-01,27
2012-02,39
2012-03,-60
2012-04,-31
2012-06,-28
2012-07,68
2012-08,145
2012-09,160
2012-11,81
2012-12,43
2013-01,9
2013-02,-5
2013-04,-78
2013-05,-94
2013-06,-51
2013-07,34
2013-10,177
2013-11,157
2013-12,147
2014-01,105
2014-03,-45
2014-04,-37
2014-05,-60
2014-06,43
2014-08,71
2014-09,156
2014-10,182
2014-11,139
2015-01,-5
2015-02,-44
2015-03,18
2015-04,9
2015-07,64
2015-08,34
2015-09,32
2015-12,64
2016-01,3
2016-02,-33
2016-03,-48
2016-05,-36
2016-06,-79
2016-07,23
2016-08,-14
2016-11,59
2016-12,39
2017-01,-33
2017-03,-110
2017-04,-52
2017-05,-102
2017-06,-109
2018-06,-50
2018-07,-21
2018-10,144
2018-11,74
2018-12,29
2019-01,9
2019-02,-44
2019-03,-64
2019-04,-120
2019-05,-133
2019-06,-78
2019-07,-37
2019-08,-40
2019-09,-35
2019-10,46
2019-11,109
2019-12,-12
2020-01,-69
2020-02,-82
2020-03,-135
2020-04,-139
2020-05,-114
2020-06,-132
2020-07,-100
2020-08,-68
2020-09,-26
2020-10,-20
2020-11,-48
2020-12,-117
2021-01,-148
2021-02,-187
2021-03,-196
2021-04,-194
2021-05,-227
2021-06,-185
2021-07,-124
2021-08,-94
2021-09,-17
2021-10,-1
2021-11,-46
2021-12,-105
2022-01,-129
2022-02,-144
2022-03,-127
2022-04,-173
2022-05,-287
2022-06,-218
2022-07,-128
2022-08,-138
2022-09,-32
2022-10,-74
2022-11,-123
2022-12,-140
2023-01,-231
2023-02,-245
2023-03,-301
2023-04,-288
2023-05,-297
2023-06,-351
2023-07,-294
2023-08,-204
2023-09,-186
