date,value
2002-04,-18
2002-05,-60
2002-08,51
2002-09,63
2002-10,143
2002-11,149
2002-12,78
2003-01,65
2003-02,52
2003-03,-38
2003-04,-54
2003-05,-91
2003-07,58
2003-08,112
2003-09,181
2003-10,201
2003-11,187
2003-12,140
2004-01,136
2004-02,59
2004-03,21
2004-04,-6
2004-05,-15
2004-06,59
2004-07,96
2004-08,96
2004-09,341
2004-10,222
2004-11,148
2004-12,114
2005-01,83
2005-02,24
2005-03,-21
2005-04,-19
2005-05,-66
2005-06,-58
2005-07,62
2005-08,113
2005-09,135
2005-10,154
2005-11,126
2005-12,98
2006-01,10
2006-02,-14
2006-03,-36
2006-04,-57
2006-05,-72
2006-06,-43
2006-07,34
2006-08,102
2006-09,107
2006-10,167
2006-11,148
2006-12,133
2007-01,79
2007-02,49
2007-03,29
2007-04,-20
2007-05,-49
2007-06,-33
2007-07,24
2007-08,58
2007-09,170
2007-10,158
2007-11,132
2007-12,105
2008-01,51
2008-02,8
2008-03,-27
2008-04,-76
2008-05,-78
2008-06,-3
2008-07,77
2008-08,109
2008-09,194
2008-10,202
2008-11,137
2008-12,116
2009-01,55
2009-02,27
2009-03,-22
2009-04,-71
2009-05,-72
2009-06,-16
2009-07,11
2009-08,-2
2009-09,68
2009-10,100
2009-11,108
2009-12,97
2010-01,51
2010-02,64
2010-03,42
2010-04,-28
2010-05,-51
2010-06,-34
2010-07,70
2010-08,169
2010-09,241
2010-10,229
2010-11,106
2010-12,98
2011-02,-35
2011-03,-33
2011-04,-60
2011-05,-47
2011-07,126
2011-08,125
2011-09,124
2011-10,119
2011-12,83
2012-01,20
2012-02,42
2012-03,-71
2012-04,-43
2012-06,-31
2012-07,53
2012-08,132
2012-09,146
2012-11,72
2012-12,42
2013-01,1
2013-02,-11
2013-04,-77
2013-05,-96
2013-06,-62
2013-07,22
2013-10,173
2013-11,150
2013-12,142
2014-01,116
2014-03,-38
2014-04,-30
2014-05,-63
2014-06,27
2014-08,76
2014-09,155
2014-10,173
2014-11,123
2015-01,-11
2015-02,-41
2015-03,28
2015-04,11
2015-07,72
2015-08,43
2015-09,28
2015-12,74
2016-01,13
2016-02,-26
2016-03,-46
2016-05,-31
2016-06,-71
2016-07,25
2016-08,-10
2016-11,68
2016-12,46
2017-01,-45
2017-03,-97
2017-04,-41
2017-05,-96
2017-06,-114
2018-06,-53
2018-07,-22
2018-10,136
2018-11,68
2018-12,34
2019-01,14
2019-02,-28
2019-03,-61
2019-04,-121
2019-05,-130
2019-06,-79
2019-07,-39
2019-08,-43
2019-09,-41
2019-10,42
2019-11,104
2019-12,0
2020-01,-70
2020-02,-74
2020-03,-133
2020-04,-132
2020-05,-107
2020-06,-140
2020-07,-105
2020-08,-79
2020-09,-41
2020-10,-30
2020-11,-63
2020-12,-134
2021-01,-164
2021-02,-196
2021-03,-200
2021-04,-193
2021-05,-233
2021-06,-198
2021-07,-129
2021-08,-96
2021-09,-20
2021-10,-6
2021-11,-51
2021-12,-105
2022-01,-120
2022-02,-148
2022-03,-127
2022-04,-184
2022-05,-294
2022-06,-234
2022-07,-138
2022-08,-143
2022-09,-52
2022-10,-96
2022-11,-140
2022-12,-155
2023-01,-233
2023-02,-257
2023-03,-300
2023-04,-296
2023-05,-306
2023-06,-359
2023-07,-314
2023-08,-220
2023-09,-204
