date,value
1979-01,2
1979-02,32
1979-03,14
1979-04,54
1979-05,76
1979-06,77
1979-07,178
1979-08,152
1979-09,138
1979-10,18
1979-11,7
1979-12,37
1980-01,57
1980-02,6
1980-03,13
1980-04,64
1980-05,103
1980-06,125
1980-07,120
1980-08,196
1980-09,150
1980-10,59
1980-11,25
1980-12,12
1981-01,20
1981-02,27
1981-03,16
1981-04,71
1981-05,84
1981-06,330
1981-07,193
1981-08,164
1981-09,119
1981-10,90
1981-11,8
1981-12,13
1982-01,2
1982-02,34
1982-03,32
1982-04,59
1982-05,138
1982-06,78
1982-07,159
1982-08,94
1982-09,57
1982-10,61
1982-11,21
1982-12,19
1983-01,32
1983-02,18
1983-03,22
1983-04,1
1983-05,46
1983-06,113
1983-07,197
1983-08,162
1983-09,168
1983-10,46
1983-11,30
1983-12,13
1984-01,12
1984-02,21
1984-03,29
1984-04,7
1984-05,65
1984-06,168
1984-07,254
1984-08,214
1984-09,153
1984-10,85
1984-11,6
1984-12,17
1985-01,12
1985-02,35
1985-03,25
1985-04,72
1985-05,132
1985-06,200
1985-07,206
1985-08,160
1985-09,91
1985-10,59
1985-11,15
1985-12,23
1986-01,3
1986-02,13
1986-03,2
1986-04,99
1986-05,152
1986-06,234
1986-07,141
1986-08,157
1986-09,127
1986-10,83
1986-11,18
1986-12,33
1987-01,2
1987-02,21
1987-03,44
1987-04,57
1987-05,106
1987-06,200
1987-07,203
1987-08,147
1987-09,108
1987-10,5
1987-11,21
1987-12,21
1988-01,8
1988-02,17
1988-03,42
1988-04,25
1988-05,43
1988-06,165
1988-07,207
1988-08,161
1988-09,156
1988-10,29
1988-11,4
1988-12,6
1989-01,6
1989-02,10
1989-03,15
1989-04,39
1989-05,66
1989-06,166
1989-07,150
1989-08,217
1989-09,163
1989-10,66
1989-11,21
1990-01,20
1990-02,26
1990-03,28
1990-04,95
1990-05,118
1990-06,182
1990-07,207
1990-08,167
1990-09,134
1990-10,106
1990-11,9
1990-12,12
1991-01,8
1991-02,10
1991-03,4
1991-04,36
1991-05,88
1991-06,228
1991-07,222
1991-08,138
1991-09,189
1991-10,100
1991-11,18
1991-12,23
1992-01,83
1992-02,25
1992-03,13
1992-04,66
1992-05,149
1992-06,99
1992-07,198
1992-08,220
1992-09,145
1992-10,107
1992-11,61
1992-12,6
1993-01,20
1993-02,9
1993-03,4
1993-04,27
