date,value
1979-01,0
1979-02,9
1979-03,3
1979-04,32
1979-05,79
1979-06,82
1979-07,237
1979-08,144
1979-09,225
1979-10,21
1979-11,6
1979-12,15
1980-01,65
1980-02,2
1980-03,2
1980-04,40
1980-05,66
1980-06,108
1980-07,143
1980-08,241
1980-09,148
1980-10,60
1980-11,20
1980-12,6
1981-01,5
1981-02,12
1981-03,9
1981-04,39
1981-05,54
1981-06,437
1981-07,257
1981-08,224
1981-09,170
1981-10,80
1981-11,6
1981-12,3
1982-01,1
1982-02,19
1982-03,7
1982-04,31
1982-05,131
1982-06,128
1982-07,137
1982-08,94
1982-09,92
1982-10,71
1982-11,9
1982-12,18
1983-01,19
1983-02,29
1983-03,17
1983-04,0
1983-05,21
1983-06,181
1983-07,176
1983-08,171
1983-09,202
1983-10,42
1983-11,25
1983-12,9
1984-01,10
1984-02,11
1984-03,11
1984-04,4
1984-05,66
1984-06,220
1984-07,336
1984-08,241
1984-09,197
1984-10,53
1984-11,6
1984-12,9
1985-01,3
1985-02,18
1985-03,10
1985-04,43
1985-05,99
1985-06,237
1985-07,230
1985-08,188
1985-09,124
1985-10,70
1985-11,10
1985-12,10
1986-01,2
1986-02,6
1986-03,1
1986-04,66
1986-05,151
1986-06,220
1986-07,127
1986-08,171
1986-09,122
1986-10,78
1986-11,18
1986-12,25
1987-01,1
1987-02,17
1987-03,25
1987-04,36
1987-05,64
1987-06,238
1987-07,227
1987-08,148
1987-09,143
1987-10,10
1987-11,14
1987-12,19
1988-01,5
1988-02,6
1988-03,19
1988-04,5
1988-05,20
1988-06,162
1988-07,222
1988-08,190
1988-09,167
1988-10,53
1988-11,3
1988-12,3
1989-01,1
1989-02,3
1989-03,2
1989-04,12
1989-05,56
1989-06,290
1989-07,188
1989-08,281
1989-09,207
1989-10,99
1989-11,22
1990-01,5
1990-02,12
1990-03,10
1990-04,57
1990-05,123
1990-06,200
1990-07,209
1990-08,125
1990-09,157
1990-10,94
1990-11,16
1990-12,6
1991-01,3
1991-02,2
1991-03,2
1991-04,15
1991-05,98
1991-06,265
1991-07,218
1991-08,146
1991-09,221
1991-10,97
1991-11,17
1991-12,12
1992-01,75
1992-02,19
1992-03,7
1992-04,34
1992-05,106
1992-06,142
1992-07,188
1992-08,209
1992-09,152
1992-10,69
1992-11,42
1992-12,6
1993-01,10
1993-02,7
1993-03,2
1993-04,16
1993-05,6
1993-06,222
1993-07,183
1993-08,145
1993-09,192
1993-10,51
1993-11,11
1993-12,0
1994-01,3
1994-02,3
1994-03,1
1994-04,13
1994-05,57
1994-06,201
1994-07,130
1994-08,283
1994-09,152
1994-10,87
1994-11,6
1994-12,4
1995-01,30
1995-02,5
1995-03,7
1995-04,16
1995-05,162
1995-06,230
1995-07,184
1995-08,288
1995-09,165
1995-10,47
1995-11,34
1995-12,36
1996-01,0
1996-02,4
1996-03,1
1996-04,14
1996-05,91
1996-06,215
1996-07,173
1996-08,200
1996-09,97
1996-10,78
1996-11,5
1996-12,16
1997-01,8
1997-02,1
1997-03,19
1997-04,29
1997-05,82
1997-06,183
1997-07,146
1997-08,116
1997-09,190
1997-10,166
1997-11,37
1997-12,20
1998-01,19
1998-02,0
1998-03,0
1998-04,2
1998-05,8
1998-06,142
1998-07,127
1998-08,160
1998-09,350
1998-10,74
1998-11,23
1998-12,1
1999-01,0
1999-02,8
1999-03,12
1999-04,7
1999-05,57
1999-06,163
1999-07,209
1999-08,224
1999-09,126
1999-10,153
1999-11,8
1999-12,2
2000-01,0
2000-02,18
2000-03,7
2000-04,9
2000-05,153
2000-06,233
2000-07,99
2000-08,181
