date,value
1979-01,1
1979-02,27
1979-03,8
1979-04,28
1979-05,73
1979-06,86
1979-07,173
1979-08,150
1979-09,154
1979-10,20
1979-11,9
1979-12,32
1980-01,67
1980-02,6
1980-03,9
1980-04,46
1980-05,68
1980-06,120
1980-07,136
1980-08,216
1980-09,157
1980-10,67
1980-11,32
1980-12,8
1981-01,25
1981-02,22
1981-03,18
1981-04,55
1981-05,70
1981-06,291
1981-07,218
1981-08,171
1981-09,120
1981-10,108
1981-11,13
1981-12,9
1982-01,2
1982-02,25
1982-03,25
1982-04,44
1982-05,148
1982-06,87
1982-07,162
1982-08,110
1982-09,80
1982-10,75
1982-11,16
1982-12,18
1983-01,29
1983-02,13
1983-03,23
1983-04,1
1983-05,45
1983-06,121
1983-07,224
1983-08,180
1983-09,177
1983-10,55
1983-11,26
1983-12,12
1984-01,8
1984-02,13
1984-03,18
1984-04,8
1984-05,64
1984-06,196
1984-07,309
1984-08,190
1984-09,183
1984-10,91
1984-11,7
1984-12,11
1985-01,9
1985-02,26
1985-03,20
1985-04,52
1985-05,108
1985-06,226
1985-07,231
1985-08,174
1985-09,107
1985-10,58
1985-11,15
1985-12,23
1986-01,4
1986-02,10
1986-03,2
1986-04,80
1986-05,134
1986-06,242
1986-07,139
1986-08,148
1986-09,128
1986-10,98
1986-11,24
1986-12,25
1987-01,1
1987-02,17
1987-03,23
1987-04,44
1987-05,74
1987-06,182
1987-07,233
1987-08,148
1987-09,127
1987-10,15
1987-11,20
1987-12,19
1988-01,7
1988-02,11
1988-03,30
1988-04,22
1988-05,30
1988-06,161
1988-07,216
1988-08,202
1988-09,145
1988-10,40
1988-11,8
1988-12,6
1989-01,7
1989-02,15
1989-03,12
1989-04,33
1989-05,54
1989-06,170
1989-07,176
1989-08,227
1989-09,170
1989-10,79
1989-11,20
1990-01,20
1990-02,24
1990-03,23
1990-04,53
1990-05,118
1990-06,178
1990-07,238
1990-08,167
1990-09,159
1990-10,110
1990-11,10
1990-12,9
1991-01,6
1991-02,9
1991-03,2
1991-04,16
1991-05,70
1991-06,242
1991-07,253
1991-08,135
1991-09,198
1991-10,103
1991-11,24
1991-12,21
1992-01,104
1992-02,24
1992-03,15
1992-04,62
1992-05,118
1992-06,108
1992-07,203
1992-08,215
1992-09,148
1992-10,120
1992-11,65
1992-12,9
1993-01,17
1993-02,6
1993-03,4
1993-04,21
1993-05,17
1993-06,208
1993-07,212
1993-08,181
1993-09,182
1993-10,55
1993-11,19
1993-12,1
1994-01,14
1994-02,7
1994-03,8
1994-04,32
1994-05,56
1994-06,242
1994-07,156
1994-08,209
1994-09,154
1994-10,102
1994-11,8
1994-12,8
1995-01,26
1995-02,18
1995-03,11
1995-04,19
1995-05,143
1995-06,220
1995-07,195
1995-08,237
1995-09,152
1995-10,55
1995-11,38
1995-12,38
1996-01,1
1996-02,5
1996-03,3
1996-04,19
1996-05,78
1996-06,196
1996-07,179
1996-08,222
1996-09,163
1996-10,71
1996-11,8
1996-12,28
1997-01,11
1997-02,3
1997-03,34
1997-04,44
1997-05,120
1997-06,156
1997-07,167
1997-08,119
1997-09,151
1997-10,116
1997-11,37
1997-12,21
1998-01,14
1998-02,2
1998-03,0
1998-04,1
1998-05,13
1998-06,145
1998-07,143
1998-08,181
1998-09,276
1998-10,120
1998-11,31
1998-12,2
1999-01,2
1999-02,9
1999-03,13
1999-04,13
1999-05,42
1999-06,150
1999-07,200
1999-08,204
1999-09,116
1999-10,115
1999-11,11
1999-12,3
2000-01,1
2000-02,32
2000-03,14
2000-04,12
2000-05,117
2000-06,208
2000-07,160
2000-08,176
2000-09,134
2000-10,58
2000-11,17
2000-12,9
2001-01,8
2001-02,13
2001-03,19
2001-04,45
2001-05,81
2001-06,178
2001-07,216
2001-08,190
2001-09,170
2001-10,56
2001-11,10
2001-12,13
2002-01,21
2002-02,11
2002-03,12
2002-04,26
2002-05,40
2002-06,151
2002-08,138
2002-09,203
2002-10,96
2002-11,72
2002-12,5
2003-01,9
2003-02,3
2003-03,10
2003-04,18
2003-05,41
2003-06,222
2003-07,182
2003-08,193
2003-09,198
2003-10,107
2003-11,24
2003-12,2
2004-01,36
2004-02,2
2004-03,26
2004-04,21
2004-05,75
2004-06,207
2004-07,169
2004-08,164
2004-09,196
2004-10,87
2004-11,6
2004-12,5
2005-01,11
2005-02,7
2005-03,16
2005-04,20
2005-05,27
2005-06,126
2005-07,200
2005-08,195
2005-09,122
2005-10,98
2005-11,13
2005-12,9
2006-01,15
2006-02,5
2006-03,14
2006-04,31
2006-05,103
2006-06,143
2006-07,201
2006-08,212
2006-09,180
2006-10,118
2006-11,43
2006-12,5
2007-01,13
2007-02,18
2007-03,20
2007-04,26
2007-05,59
2007-06,173
2007-07,237
2007-08,232
2007-09,164
2007-10,78
2007-11,20
2007-12,10
2008-01,4
2008-02,7
2008-03,5
2008-04,51
2008-05,39
2008-06,158
2008-07,279
2008-08,224
2008-09,188
2008-10,61
2008-11,2
2008-12,1
2009-01,14
2009-02,16
2009-03,11
2009-04,8
2009-05,76
2009-06,149
2009-07,163
2009-08,161
2009-09,227
2009-10,108
2009-11,9
2009-12,13
2010-01,73
2010-02,103
2010-03,3
2010-04,10
2010-05,29
2010-06,153
2010-07,305
2010-08,210
2010-09,192
2010-10,8
2010-11,7
2010-12,1
2011-01,3
2011-02,2
2011-03,7
2011-04,23
2011-05,31
2011-06,133
2011-07,275
2011-08,187
2011-09,103
2011-10,67
2011-11,20
2011-12,6
2012-01,18
2012-02,42
2012-03,26
2012-04,11
2012-05,49
2012-06,159
2012-07,214
2012-08,198
2012-09,124
2012-10,42
2012-11,23
2012-12,1
2013-01,11
2013-02,1
2013-03,18
2013-04,16
2013-05,68
2013-06,185
2013-07,215
2013-08,171
2013-09,269
2013-10,98
2013-11,55
2013-12,16
2014-01,10
