date,value
2001-01,0.343
2001-02,0.332
2001-03,0.326
2001-04,0.339
2001-05,0.384
2001-06,0.435
2001-07,0.5
2001-08,0.527
2001-09,0.528
2001-10,0.492
2001-11,0.423
2001-12,0.361
2002-01,0.346
2002-02,0.34
2002-03,0.336
2002-04,0.35
2002-05,0.358
2002-06,0.4
2002-07,0.458
2002-08,0.506
2002-09,0.532
2002-10,0.515
2002-11,0.447
2002-12,0.357
2003-01,0.339
2003-02,0.334
2003-03,0.326
2003-04,0.347
2003-05,0.362
2003-06,0.412
2003-07,0.5
2003-08,0.536
2003-09,0.544
2003-10,0.512
2003-11,0.449
2003-12,0.366
2004-01,0.345
2004-02,0.337
2004-03,0.337
2004-04,0.368
2004-05,0.414
2004-06,0.474
2004-07,0.523
2004-08,0.535
2004-09,0.535
2004-10,0.497
2004-11,0.424
2004-12,0.363
2005-01,0.344
2005-02,0.337
2005-03,0.332
2005-04,0.343
2005-05,0.359
2005-06,0.382
2005-07,0.453
2005-08,0.516
2005-09,0.54
2005-10,0.515
2005-11,0.448
2005-12,0.372
2006-01,0.338
2006-02,0.33
2006-03,0.327
2006-04,0.349
2006-05,0.402
2006-06,0.47
2006-07,0.518
2006-08,0.534
2006-09,0.535
2006-10,0.503
2006-11,0.439
2006-12,0.362
2007-01,0.353
2007-02,0.359
2007-03,0.362
2007-04,0.38
2007-05,0.407
2007-06,0.439
2007-07,0.475
2007-08,0.515
2007-09,0.527
2007-10,0.491
2007-11,0.427
2007-12,0.37
2008-01,0.352
2008-02,0.337
2008-03,0.329
2008-04,0.35
2008-05,0.382
2008-06,0.439
2008-07,0.498
2008-08,0.522
2008-09,0.527
2008-10,0.49
2008-11,0.415
2008-12,0.348
2009-01,0.334
2009-02,0.331
2009-03,0.328
2009-04,0.336
2009-05,0.357
2009-06,0.4
2009-07,0.464
2009-08,0.505
2009-09,0.534
2009-10,0.517
2009-11,0.473
2009-12,0.409
2010-01,0.386
2010-02,0.371
2010-03,0.365
2010-04,0.379
2010-05,0.388
2010-06,0.432
2010-07,0.482
2010-08,0.51
2010-09,0.511
2010-10,0.465
2010-11,0.379
2010-12,0.318
2011-01,0.313
2011-02,0.313
2011-03,0.312
2011-04,0.33
2011-05,0.357
2011-06,0.383
2011-07,0.446
2011-08,0.505
2011-09,0.521
2011-10,0.491
2011-11,0.432
2011-12,0.369
2012-01,0.352
2012-02,0.358
2012-03,0.358
2012-04,0.363
2012-05,0.375
2012-06,0.413
2012-07,0.484
2012-08,0.524
2012-09,0.533
2012-10,0.496
2012-11,0.432
2012-12,0.371
2013-01,0.358
2013-02,0.339
2013-03,0.327
2013-04,0.343
2013-05,0.383
2013-06,0.45
2013-07,0.502
2013-08,0.523
2013-09,0.533
2013-10,0.517
2013-11,0.474
2013-12,0.41
2014-01,0.387
2014-02,0.364
2014-03,0.359
2014-04,0.376
2014-05,0.405
2014-06,0.472
2014-07,0.519
2014-08,0.526
2014-09,0.529
2014-10,0.506
2014-11,0.453
2014-12,0.39
2015-01,0.388
2015-02,0.379
2015-03,0.387
2015-04,0.417
2015-05,0.457
2015-06,0.504
2015-07,0.521
2015-08,0.525
2015-09,0.525
2015-10,0.492
2015-11,0.452
2015-12,0.404
2016-01,0.388
2016-02,0.366
2016-03,0.365
2016-04,0.389
2016-05,0.429
2016-06,0.483
2016-07,0.524
2016-08,0.54
2016-09,0.54
2016-10,0.51
2016-11,0.463
2016-12,0.417
2017-01,0.39
2017-02,0.364
2017-03,0.361
2017-04,0.37
2017-05,0.395
2017-06,0.447
2017-07,0.494
2017-08,0.526
2017-09,0.534
2017-10,0.505
2017-11,0.435
2017-12,0.361
2018-01,0.353
2018-02,0.353
2018-03,0.358
2018-04,0.382
2018-05,0.422
2018-06,0.451
2018-07,0.49
2018-08,0.516
2018-09,0.529
2018-10,0.514
2018-11,0.476
2018-12,0.415
2019-01,0.382
2019-02,0.377
2019-03,0.375
2019-04,0.377
2019-05,0.389
2019-06,0.443
2019-07,0.5
2019-08,0.527
2019-09,0.527
2019-10,0.508
2019-11,0.466
2019-12,0.403
2020-01,0.379
2020-02,0.365
2020-03,0.359
2020-04,0.374
2020-05,0.391
2020-06,0.42
2020-07,0.481
2020-08,0.521
2020-09,0.533
2020-10,0.497
2020-11,0.438
2020-12,0.386
2021-01,0.366
2021-02,0.35
2021-03,0.345
2021-04,0.355
2021-05,0.383
2021-06,0.455
2021-07,0.507
2021-08,0.532
2021-09,0.539
2021-10,0.507
2021-11,0.451
2021-12,0.388
2022-01,0.374
2022-02,0.365
2022-03,0.353
2022-04,0.364
2022-05,0.382
2022-06,0.41
2022-07,0.475
2022-08,0.513
2022-09,0.527
2022-10,0.507
2022-11,0.458
2022-12,0.395
2023-01,0.372
2023-02,0.352
2023-03,0.346
2023-04,0.358
2023-05,0.375
2023-06,0.401
2023-07,0.443
2023-08,0.5
2023-09,0.522
2023-10,0.501
2023-11,0.459
2023-12,0.419
