date,value
2001-01,0.381
2001-02,0.378
2001-03,0.374
2001-04,0.394
2001-05,0.447
2001-06,0.554
2001-07,0.685
2001-08,0.717
2001-09,0.719
2001-10,0.665
2001-11,0.54
2001-12,0.427
2002-01,0.404
2002-02,0.397
2002-03,0.386
2002-04,0.401
2002-05,0.431
2002-06,0.579
2002-07,0.668
2002-08,0.663
2002-09,0.689
2002-10,0.687
2002-11,0.6
2002-12,0.475
2003-01,0.416
2003-02,0.39
2003-03,0.375
2003-04,0.4
2003-05,0.438
2003-06,0.594
2003-07,0.673
2003-08,0.676
2003-09,0.716
2003-10,0.692
2003-11,0.595
2003-12,0.465
2004-01,0.431
2004-02,0.415
2004-03,0.399
2004-04,0.422
2004-05,0.473
2004-06,0.622
2004-07,0.71
2004-08,0.724
2004-09,0.724
2004-10,0.679
2004-11,0.566
2004-12,0.449
2005-01,0.401
2005-02,0.388
2005-03,0.375
2005-04,0.388
2005-05,0.412
2005-06,0.478
2005-07,0.638
2005-08,0.706
2005-09,0.728
2005-10,0.67
2005-11,0.543
2005-12,0.424
2006-01,0.383
2006-02,0.372
2006-03,0.368
2006-04,0.391
2006-05,0.456
2006-06,0.599
2006-07,0.661
2006-08,0.711
2006-09,0.729
2006-10,0.682
2006-11,0.577
2006-12,0.449
2007-01,0.409
2007-02,0.4
2007-03,0.386
2007-04,0.403
2007-05,0.446
2007-06,0.57
2007-07,0.676
2007-08,0.719
2007-09,0.725
2007-10,0.671
2007-11,0.557
2007-12,0.438
2008-01,0.394
2008-02,0.376
2008-03,0.364
2008-04,0.394
2008-05,0.45
2008-06,0.584
2008-07,0.684
2008-08,0.708
2008-09,0.715
2008-10,0.647
2008-11,0.52
2008-12,0.413
2009-01,0.394
2009-02,0.385
2009-03,0.38
2009-04,0.396
2009-05,0.458
2009-06,0.594
2009-07,0.67
2009-08,0.685
2009-09,0.716
2009-10,0.691
2009-11,0.612
2009-12,0.499
2010-01,0.457
2010-02,0.459
2010-03,0.451
2010-04,0.443
2010-05,0.447
2010-06,0.541
2010-07,0.67
2010-08,0.71
2010-09,0.718
2010-10,0.655
2010-11,0.533
2010-12,0.423
2011-01,0.387
2011-02,0.384
2011-03,0.376
2011-04,0.402
2011-05,0.458
2011-06,0.55
2011-07,0.67
2011-08,0.712
2011-09,0.717
2011-10,0.665
2011-11,0.552
2011-12,0.438
2012-01,0.399
2012-02,0.403
2012-03,0.393
2012-04,0.405
2012-05,0.443
2012-06,0.543
2012-07,0.674
2012-08,0.712
2012-09,0.725
2012-10,0.665
2012-11,0.547
2012-12,0.437
2013-01,0.403
2013-02,0.388
2013-03,0.383
2013-04,0.403
2013-05,0.452
2013-06,0.611
2013-07,0.692
2013-08,0.713
2013-09,0.725
2013-10,0.692
2013-11,0.613
2013-12,0.499
2014-01,0.448
2014-02,0.409
2014-03,0.396
2014-04,0.411
2014-05,0.463
2014-06,0.616
2014-07,0.68
2014-08,0.693
2014-09,0.718
2014-10,0.687
2014-11,0.594
2014-12,0.479
2015-01,0.449
2015-02,0.423
2015-03,0.421
2015-04,0.449
2015-05,0.5
2015-06,0.637
2015-07,0.674
2015-08,0.668
2015-09,0.702
2015-10,0.664
2015-11,0.584
2015-12,0.473
2016-01,0.447
2016-02,0.423
2016-03,0.423
2016-04,0.447
2016-05,0.513
2016-06,0.621
2016-07,0.689
2016-08,0.714
2016-09,0.721
2016-10,0.671
2016-11,0.567
2016-12,0.468
2017-01,0.423
2017-02,0.401
2017-03,0.402
2017-04,0.421
2017-05,0.476
2017-06,0.638
2017-07,0.697
2017-08,0.712
2017-09,0.72
2017-10,0.672
2017-11,0.556
2017-12,0.436
2018-01,0.414
2018-02,0.4
2018-03,0.398
2018-04,0.427
2018-05,0.53
2018-06,0.617
2018-07,0.66
2018-08,0.685
2018-09,0.715
2018-10,0.686
2018-11,0.614
2018-12,0.505
2019-01,0.446
2019-02,0.415
2019-03,0.405
2019-04,0.412
2019-05,0.454
2019-06,0.606
2019-07,0.678
2019-08,0.7
2019-09,0.712
2019-10,0.694
2019-11,0.623
2019-12,0.503
2020-01,0.441
2020-02,0.416
2020-03,0.397
2020-04,0.408
2020-05,0.433
2020-06,0.518
2020-07,0.657
2020-08,0.711
2020-09,0.726
2020-10,0.669
2020-11,0.558
2020-12,0.454
2021-01,0.416
2021-02,0.394
2021-03,0.387
2021-04,0.402
2021-05,0.457
2021-06,0.601
2021-07,0.665
2021-08,0.695
2021-09,0.72
2021-10,0.673
2021-11,0.568
2021-12,0.45
2022-01,0.418
2022-02,0.401
2022-03,0.384
2022-04,0.4
2022-05,0.43
2022-06,0.54
2022-07,0.637
2022-08,0.683
2022-09,0.716
2022-10,0.681
2022-11,0.581
2022-12,0.455
2023-01,0.408
2023-02,0.381
2023-03,0.368
2023-04,0.378
2023-05,0.403
2023-06,0.477
2023-07,0.577
2023-08,0.674
2023-09,0.704
2023-10,0.665
2023-11,0.586
2023-12,0.508
