date,value
2001-01,0.413
2001-02,0.402
2001-03,0.396
2001-04,0.416
2001-05,0.476
2001-06,0.558
2001-07,0.644
2001-08,0.662
2001-09,0.657
2001-10,0.607
2001-11,0.513
2001-12,0.433
2002-01,0.415
2002-02,0.409
2002-03,0.402
2002-04,0.421
2002-05,0.448
2002-06,0.538
2002-07,0.618
2002-08,0.653
2002-09,0.666
2002-10,0.639
2002-11,0.558
2002-12,0.454
2003-01,0.426
2003-02,0.409
2003-03,0.392
2003-04,0.413
2003-05,0.439
2003-06,0.54
2003-07,0.645
2003-08,0.67
2003-09,0.671
2003-10,0.631
2003-11,0.553
2003-12,0.453
2004-01,0.424
2004-02,0.411
2004-03,0.403
2004-04,0.435
2004-05,0.486
2004-06,0.595
2004-07,0.666
2004-08,0.673
2004-09,0.666
2004-10,0.622
2004-11,0.532
2004-12,0.448
2005-01,0.419
2005-02,0.404
2005-03,0.389
2005-04,0.396
2005-05,0.412
2005-06,0.452
2005-07,0.566
2005-08,0.651
2005-09,0.679
2005-10,0.642
2005-11,0.553
2005-12,0.451
2006-01,0.41
2006-02,0.397
2006-03,0.389
2006-04,0.412
2006-05,0.476
2006-06,0.577
2006-07,0.641
2006-08,0.664
2006-09,0.665
2006-10,0.628
2006-11,0.556
2006-12,0.46
2007-01,0.433
2007-02,0.429
2007-03,0.42
2007-04,0.439
2007-05,0.477
2007-06,0.554
2007-07,0.636
2007-08,0.663
2007-09,0.665
2007-10,0.618
2007-11,0.532
2007-12,0.455
2008-01,0.422
2008-02,0.402
2008-03,0.386
2008-04,0.409
2008-05,0.444
2008-06,0.529
2008-07,0.634
2008-08,0.662
2008-09,0.664
2008-10,0.614
2008-11,0.518
2008-12,0.428
2009-01,0.405
2009-02,0.398
2009-03,0.391
2009-04,0.404
2009-05,0.441
2009-06,0.533
2009-07,0.621
2009-08,0.638
2009-09,0.659
2009-10,0.637
2009-11,0.575
2009-12,0.491
2010-01,0.46
2010-02,0.448
2010-03,0.438
2010-04,0.445
2010-05,0.455
2010-06,0.52
2010-07,0.613
2010-08,0.654
2010-09,0.652
2010-10,0.589
2010-11,0.481
2010-12,0.4
2011-01,0.384
2011-02,0.379
2011-03,0.371
2011-04,0.39
2011-05,0.419
2011-06,0.466
2011-07,0.573
2011-08,0.642
2011-09,0.652
2011-10,0.61
2011-11,0.529
2011-12,0.443
2012-01,0.419
2012-02,0.425
2012-03,0.421
2012-04,0.426
2012-05,0.445
2012-06,0.506
2012-07,0.614
2012-08,0.658
2012-09,0.667
2012-10,0.616
2012-11,0.536
2012-12,0.455
2013-01,0.425
2013-02,0.401
2013-03,0.385
2013-04,0.4
2013-05,0.439
2013-06,0.543
2013-07,0.636
2013-08,0.666
2013-09,0.673
2013-10,0.646
2013-11,0.591
2013-12,0.507
2014-01,0.47
2014-02,0.434
2014-03,0.42
2014-04,0.435
2014-05,0.484
2014-06,0.591
2014-07,0.658
2014-08,0.664
2014-09,0.663
2014-10,0.63
2014-11,0.559
2014-12,0.474
2015-01,0.463
2015-02,0.451
2015-03,0.457
2015-04,0.493
2015-05,0.544
2015-06,0.631
2015-07,0.665
2015-08,0.658
2015-09,0.656
2015-10,0.623
2015-11,0.574
2015-12,0.506
2016-01,0.47
2016-02,0.433
2016-03,0.426
2016-04,0.441
2016-05,0.49
2016-06,0.596
2016-07,0.664
2016-08,0.673
2016-09,0.668
2016-10,0.628
2016-11,0.561
2016-12,0.492
2017-01,0.454
2017-02,0.424
2017-03,0.416
2017-04,0.429
2017-05,0.468
2017-06,0.558
2017-07,0.634
2017-08,0.663
2017-09,0.665
2017-10,0.628
2017-11,0.541
2017-12,0.443
2018-01,0.422
2018-02,0.419
2018-03,0.42
2018-04,0.445
2018-05,0.502
2018-06,0.569
2018-07,0.639
2018-08,0.661
2018-09,0.673
2018-10,0.645
2018-11,0.592
2018-12,0.508
2019-01,0.459
2019-02,0.437
2019-03,0.427
2019-04,0.43
2019-05,0.451
2019-06,0.548
2019-07,0.634
2019-08,0.666
2019-09,0.667
2019-10,0.64
2019-11,0.59
2019-12,0.504
2020-01,0.459
2020-02,0.433
2020-03,0.418
2020-04,0.433
2020-05,0.455
2020-06,0.503
2020-07,0.603
2020-08,0.657
2020-09,0.669
2020-10,0.612
2020-11,0.531
2020-12,0.458
2021-01,0.424
2021-02,0.403
2021-03,0.394
2021-04,0.409
2021-05,0.453
2021-06,0.555
2021-07,0.643
2021-08,0.67
2021-09,0.671
2021-10,0.634
2021-11,0.56
2021-12,0.472
2022-01,0.444
2022-02,0.426
2022-03,0.408
2022-04,0.422
2022-05,0.449
2022-06,0.52
2022-07,0.605
2022-08,0.646
2022-09,0.663
2022-10,0.635
2022-11,0.571
2022-12,0.484
2023-01,0.441
2023-02,0.41
2023-03,0.396
2023-04,0.408
2023-05,0.432
2023-06,0.481
2023-07,0.563
2023-08,0.644
2023-09,0.662
2023-10,0.629
2023-11,0.58
2023-12,0.526
